review_id,user_id,med_id,rating,review_text,timestamp
REV00044,U0108,M009,3.8,Highly recommend. Rating: 3.8,2024-03-20
REV00045,U0109,M028,2.0,Not very effective. Rating: 2.0,2024-03-03
REV00046,U0121,M008,3.9,Great relief. Rating: 3.9,2024-10-09
REV00047,U0036,M018,2.9,Mild side effects. Rating: 2.9,2024-02-09
REV00048,U0127,M011,5.0,Highly recommend. Rating: 5.0,2024-02-20
REV00049,U0128,M017,4.7,No side effects. Rating: 4.7,2024-02-20
REV00050,U0093,M009,4.8,Great relief. Rating: 4.8,2024-03-20
REV00051,U0196,M022,2.1,Mild side effects. Rating: 2.1,2024-11-02
REV00052,U0042,M008,5.0,Highly recommend. Rating: 5.0,2024-07-15
REV00053,U0112,M025,4.6,Great relief. Rating: 4.6,2024-07-08
REV00054,U0109,M025,3.9,Great relief. Rating: 3.9,2024-08-24
REV00055,U0114,M004,3.5,Excellent medication. Rating: 3.5,2024-01-14
REV00056,U0053,M002,3.9,Highly recommend. Rating: 3.9,2024-09-13
REV00057,U0194,M021,2.9,Minor dizziness. Rating: 2.9,2024-09-03
REV00058,U0165,M025,4.0,No side effects. Rating: 4.0,2024-04-27
REV00059,U0026,M016,2.2,Took time to work. Rating: 2.2,2024-06-11
REV00060,U0059,M017,4.0,Great relief. Rating: 4.0,2024-01-09
REV00061,U0019,M027,4.1,Great relief. Rating: 4.1,2024-06-03
REV00062,U0084,M023,1.7,Not very effective. Rating: 1.7,2024-08-23
REV00063,U0145,M006,3.3,Took time to work. Rating: 3.3,2024-06-19
REV00064,U0198,M025,2.9,Minor dizziness. Rating: 2.9,2024-07-20
REV00065,U0116,M006,3.4,Took time to work. Rating: 3.4,2024-10-11
REV00066,U0077,M002,2.9,Not very effective. Rating: 2.9,2024-08-17
REV00067,U0115,M021,3.1,Mild side effects. Rating: 3.1,2024-07-12
REV00068,U0037,M016,4.2,Worked very well. Rating: 4.2,2024-02-04
REV00069,U0054,M024,4.8,Great relief. Rating: 4.8,2024-10-07
REV00070,U0122,M014,2.6,Average results. Rating: 2.6,2024-12-20
REV00071,U0136,M014,4.7,Worked very well. Rating: 4.7,2024-09-15
REV00072,U0156,M002,4.8,Highly recommend. Rating: 4.8,2024-07-27
REV00073,U0133,M030,5.0,Great relief. Rating: 5.0,2024-09-24
REV00074,U0152,M022,2.9,Average results. Rating: 2.9,2024-04-29
REV00075,U0200,M008,4.5,Great relief. Rating: 4.5,2024-05-12
REV00076,U0089,M026,5.0,Excellent medication. Rating: 5.0,2024-01-14
REV00077,U0198,M005,2.9,Not very effective. Rating: 2.9,2024-08-30
REV00078,U0148,M014,1.6,Took time to work. Rating: 1.6,2024-02-12
REV00079,U0110,M009,4.7,Highly recommend. Rating: 4.7,2024-01-05
REV00080,U0050,M022,3.6,Great relief. Rating: 3.6,2024-12-01
REV00081,U0189,M016,3.7,Excellent medication. Rating: 3.7,2024-09-13
REV00082,U0119,M016,2.8,Not very effective. Rating: 2.8,2024-12-29
REV00083,U0020,M019,3.4,Average results. Rating: 3.4,2024-12-26
REV00084,U0062,M027,4.4,Excellent medication. Rating: 4.4,2024-09-26
REV00085,U0054,M028,3.7,Highly recommend. Rating: 3.7,2024-07-25
REV00086,U0117,M024,5.0,Worked very well. Rating: 5.0,2024-04-15
REV00087,U0165,M005,4.5,Worked very well. Rating: 4.5,2024-09-03
REV00088,U0028,M025,5.0,Excellent medication. Rating: 5.0,2024-02-08
REV00089,U0110,M020,4.8,Highly recommend. Rating: 4.8,2024-03-02
REV00090,U0028,M014,2.2,Average results. Rating: 2.2,2024-03-25
REV00091,U0140,M012,4.6,No side effects. Rating: 4.6,2024-02-28
REV00092,U0069,M027,4.1,Great relief. Rating: 4.1,2024-10-09
REV00093,U0096,M006,2.8,Mild side effects. Rating: 2.8,2024-02-23
REV00094,U0149,M001,4.5,Highly recommend. Rating: 4.5,2024-04-16
REV00095,U0008,M029,2.2,Took time to work. Rating: 2.2,2024-04-02
REV00096,U0146,M026,2.9,Average results. Rating: 2.9,2024-10-08
REV00097,U0048,M022,5.0,Great relief. Rating: 5.0,2024-07-22
REV00098,U0127,M027,4.1,Great relief. Rating: 4.1,2024-02-09
REV00099,U0116,M015,5.0,Excellent medication. Rating: 5.0,2024-01-10
REV00100,U0021,M013,4.3,Worked very well. Rating: 4.3,2024-04-09
REV00101,U0176,M001,2.2,Minor dizziness. Rating: 2.2,2024-01-17
REV00102,U0150,M007,4.4,Great relief. Rating: 4.4,2024-04-16
REV00103,U0065,M030,4.6,Worked very well. Rating: 4.6,2024-05-23
REV00104,U0148,M008,5.0,Highly recommend. Rating: 5.0,2024-02-27
REV00105,U0072,M026,4.5,No side effects. Rating: 4.5,2024-08-15
REV00106,U0062,M030,3.0,Average results. Rating: 3.0,2024-10-11
REV00107,U0009,M024,4.5,No side effects. Rating: 4.5,2024-07-22
REV00108,U0067,M002,3.8,Great relief. Rating: 3.8,2024-03-21
REV00109,U0141,M011,4.8,No side effects. Rating: 4.8,2024-02-25
REV00110,U0057,M024,2.9,Not very effective. Rating: 2.9,2024-11-05
REV00111,U0195,M016,4.0,Worked very well. Rating: 4.0,2024-04-02
REV00112,U0023,M006,4.9,No side effects. Rating: 4.9,2024-10-20
REV00113,U0167,M002,4.5,Great relief. Rating: 4.5,2024-06-01
REV00114,U0110,M002,4.5,No side effects. Rating: 4.5,2024-03-05
REV00115,U0102,M021,4.6,Highly recommend. Rating: 4.6,2024-06-18
REV00116,U0117,M028,2.4,Took time to work. Rating: 2.4,2024-03-26
REV00117,U0151,M016,3.0,Took time to work. Rating: 3.0,2024-05-15
REV00118,U0192,M021,3.5,No side effects. Rating: 3.5,2024-10-27
REV00119,U0130,M028,3.0,Mild side effects. Rating: 3.0,2024-10-06
REV00120,U0078,M027,4.6,Highly recommend. Rating: 4.6,2024-01-02
REV00121,U0193,M014,2.8,Minor dizziness. Rating: 2.8,2024-01-12
REV00122,U0012,M018,4.4,Worked very well. Rating: 4.4,2024-01-06
REV00123,U0044,M020,2.7,Not very effective. Rating: 2.7,2024-01-24
REV00124,U0048,M025,1.9,Took time to work. Rating: 1.9,2024-02-09
REV00125,U0061,M020,5.0,Great relief. Rating: 5.0,2024-01-17
REV00126,U0067,M018,2.8,Minor dizziness. Rating: 2.8,2024-10-20
REV00127,U0041,M012,4.9,Worked very well. Rating: 4.9,2024-04-08
REV00128,U0053,M006,3.1,Took time to work. Rating: 3.1,2024-01-04
REV00129,U0011,M005,4.5,Excellent medication. Rating: 4.5,2024-07-10
REV00130,U0089,M028,3.6,Great relief. Rating: 3.6,2024-01-31
REV00131,U0087,M010,5.0,Worked very well. Rating: 5.0,2024-06-17
REV00132,U0058,M028,5.0,Excellent medication. Rating: 5.0,2024-07-26
REV00133,U0073,M023,2.2,Not very effective. Rating: 2.2,2024-04-16
REV00134,U0050,M025,2.9,Not very effective. Rating: 2.9,2024-05-05
REV00135,U0101,M030,4.0,Worked very well. Rating: 4.0,2024-03-24
REV00136,U0110,M005,4.4,No side effects. Rating: 4.4,2024-01-04
REV00137,U0192,M024,3.9,No side effects. Rating: 3.9,2024-10-02
REV00138,U0032,M005,3.6,Worked very well. Rating: 3.6,2024-05-17
REV00139,U0015,M015,3.8,No side effects. Rating: 3.8,2024-06-19
REV00140,U0101,M011,3.4,Not very effective. Rating: 3.4,2024-11-09
REV00141,U0031,M005,3.4,Mild side effects. Rating: 3.4,2024-05-04
REV00142,U0103,M007,3.5,Highly recommend. Rating: 3.5,2024-02-08
REV00143,U0072,M006,2.9,Minor dizziness. Rating: 2.9,2024-02-03
REV00144,U0099,M006,3.9,Excellent medication. Rating: 3.9,2024-10-31
REV00145,U0145,M007,3.9,Excellent medication. Rating: 3.9,2024-08-17
REV00146,U0160,M026,3.0,Minor dizziness. Rating: 3.0,2024-02-20
REV00147,U0020,M023,3.3,Average results. Rating: 3.3,2024-04-27
REV00148,U0124,M012,3.5,Excellent medication. Rating: 3.5,2024-04-28
REV00149,U0071,M016,3.7,Highly recommend. Rating: 3.7,2024-06-12
REV00150,U0171,M028,3.3,Took time to work. Rating: 3.3,2024-09-17
REV00151,U0027,M029,3.1,Average results. Rating: 3.1,2024-03-13
REV00152,U0159,M014,3.1,Mild side effects. Rating: 3.1,2024-03-02
REV00153,U0002,M019,2.2,Mild side effects. Rating: 2.2,2024-10-30
REV00154,U0169,M024,4.3,Worked very well. Rating: 4.3,2024-09-29
REV00155,U0070,M002,4.5,Worked very well. Rating: 4.5,2024-04-07
REV00156,U0181,M004,3.3,Took time to work. Rating: 3.3,2024-02-02
REV00157,U0091,M001,3.4,Minor dizziness. Rating: 3.4,2024-06-11
REV00158,U0070,M007,4.4,Excellent medication. Rating: 4.4,2024-03-12
REV00159,U0061,M022,5.0,Great relief. Rating: 5.0,2024-01-26
REV00160,U0114,M016,4.6,No side effects. Rating: 4.6,2024-10-29
REV00161,U0155,M005,3.3,Average results. Rating: 3.3,2024-07-10
REV00162,U0034,M005,3.9,Great relief. Rating: 3.9,2024-02-17
REV00163,U0161,M026,3.1,Minor dizziness. Rating: 3.1,2024-12-11
REV00164,U0180,M030,3.8,Great relief. Rating: 3.8,2024-10-03
REV00165,U0078,M025,4.1,Excellent medication. Rating: 4.1,2024-10-04
REV00166,U0127,M002,2.5,Average results. Rating: 2.5,2024-08-08
REV00167,U0051,M007,2.8,Not very effective. Rating: 2.8,2024-04-30
REV00168,U0151,M019,3.8,Worked very well. Rating: 3.8,2024-10-12
REV00169,U0015,M006,3.4,Not very effective. Rating: 3.4,2024-06-23
REV00170,U0184,M018,4.0,Highly recommend. Rating: 4.0,2024-12-06
REV00171,U0134,M011,3.5,Excellent medication. Rating: 3.5,2024-11-21
REV00172,U0092,M024,4.8,No side effects. Rating: 4.8,2024-09-26
REV00173,U0044,M025,2.0,Not very effective. Rating: 2.0,2024-06-13
REV00174,U0182,M026,3.4,Average results. Rating: 3.4,2024-09-01
REV00175,U0190,M017,5.0,Excellent medication. Rating: 5.0,2024-05-16
REV00176,U0124,M005,5.0,Highly recommend. Rating: 5.0,2024-12-03
REV00177,U0056,M028,3.3,Minor dizziness. Rating: 3.3,2024-11-22
REV00178,U0189,M012,3.5,Great relief. Rating: 3.5,2024-02-11
REV00179,U0041,M006,4.0,No side effects. Rating: 4.0,2024-04-03
REV00180,U0003,M025,2.8,Minor dizziness. Rating: 2.8,2024-02-24
REV00181,U0044,M025,2.9,Average results. Rating: 2.9,2024-06-02
REV00182,U0045,M018,3.6,Highly recommend. Rating: 3.6,2024-07-29
REV00183,U0166,M001,4.4,Worked very well. Rating: 4.4,2024-02-16
REV00184,U0042,M008,5.0,Worked very well. Rating: 5.0,2024-05-20
REV00185,U0153,M001,4.9,Worked very well. Rating: 4.9,2024-01-07
REV00186,U0180,M021,4.5,No side effects. Rating: 4.5,2024-08-01
REV00187,U0011,M005,2.3,Average results. Rating: 2.3,2024-07-28
REV00188,U0001,M009,5.0,Highly recommend. Rating: 5.0,2024-06-24
REV00189,U0093,M014,4.0,No side effects. Rating: 4.0,2024-04-09
REV00190,U0018,M016,3.5,Worked very well. Rating: 3.5,2024-05-25
REV00191,U0158,M003,3.7,Worked very well. Rating: 3.7,2024-01-26
REV00192,U0148,M008,3.6,Excellent medication. Rating: 3.6,2024-05-05
REV00193,U0046,M005,3.3,Not very effective. Rating: 3.3,2024-03-23
REV00194,U0119,M003,4.3,Great relief. Rating: 4.3,2024-02-14
REV00195,U0178,M002,4.5,Excellent medication. Rating: 4.5,2024-08-02
REV00196,U0136,M005,3.6,Excellent medication. Rating: 3.6,2024-08-24
REV00197,U0072,M013,3.5,Highly recommend. Rating: 3.5,2024-02-26
REV00198,U0015,M016,3.8,Highly recommend. Rating: 3.8,2024-08-11
REV00199,U0182,M017,4.5,Worked very well. Rating: 4.5,2024-12-31
REV00200,U0003,M001,3.1,Minor dizziness. Rating: 3.1,2024-10-20
REV00201,U0070,M014,3.3,Took time to work. Rating: 3.3,2024-02-16
REV00202,U0109,M022,4.8,Highly recommend. Rating: 4.8,2024-03-16
REV00203,U0051,M026,4.7,Worked very well. Rating: 4.7,2024-07-29
REV00204,U0004,M021,2.6,Mild side effects. Rating: 2.6,2024-11-12
REV00205,U0077,M005,3.7,Highly recommend. Rating: 3.7,2024-04-12
REV00206,U0100,M012,5.0,Excellent medication. Rating: 5.0,2024-05-21
REV00207,U0118,M006,4.5,Worked very well. Rating: 4.5,2024-08-25
REV00208,U0169,M029,3.3,Average results. Rating: 3.3,2024-07-17
REV00209,U0193,M002,2.7,Average results. Rating: 2.7,2024-08-04
REV00210,U0065,M020,3.6,Worked very well. Rating: 3.6,2024-05-29
REV00211,U0110,M026,5.0,Great relief. Rating: 5.0,2024-02-05
REV00212,U0084,M028,5.0,Highly recommend. Rating: 5.0,2024-06-23
REV00213,U0023,M027,4.8,Excellent medication. Rating: 4.8,2024-09-10
REV00214,U0158,M019,4.5,No side effects. Rating: 4.5,2024-04-06
REV00215,U0044,M010,4.5,Excellent medication. Rating: 4.5,2024-10-13
REV00216,U0114,M010,5.0,Worked very well. Rating: 5.0,2024-05-16
REV00217,U0044,M008,3.9,Highly recommend. Rating: 3.9,2024-05-17
REV00218,U0110,M025,3.4,Minor dizziness. Rating: 3.4,2024-06-20
REV00219,U0147,M009,4.1,Highly recommend. Rating: 4.1,2024-08-17
REV00220,U0195,M001,2.7,Not very effective. Rating: 2.7,2024-03-25
REV00221,U0095,M024,3.3,Not very effective. Rating: 3.3,2024-04-25
REV00222,U0195,M005,4.4,Highly recommend. Rating: 4.4,2024-08-02
REV00223,U0045,M007,3.5,Highly recommend. Rating: 3.5,2024-09-21
REV00224,U0188,M023,3.7,Highly recommend. Rating: 3.7,2024-05-16
REV00225,U0153,M011,3.9,Excellent medication. Rating: 3.9,2024-04-26
REV00226,U0087,M021,3.9,No side effects. Rating: 3.9,2024-06-09
REV00227,U0024,M013,1.4,Took time to work. Rating: 1.4,2024-05-22
REV00228,U0083,M025,4.1,Worked very well. Rating: 4.1,2024-10-29
REV00229,U0149,M025,2.3,Mild side effects. Rating: 2.3,2024-04-22
REV00230,U0137,M003,2.7,Average results. Rating: 2.7,2024-05-14
REV00231,U0166,M021,3.6,Highly recommend. Rating: 3.6,2024-07-29
REV00232,U0076,M008,3.5,Excellent medication. Rating: 3.5,2024-08-21
REV00233,U0071,M007,1.6,Minor dizziness. Rating: 1.6,2024-08-22
REV00234,U0102,M024,3.7,Excellent medication. Rating: 3.7,2024-07-11
REV00235,U0107,M009,5.0,Great relief. Rating: 5.0,2024-07-31
REV00236,U0034,M022,4.6,Highly recommend. Rating: 4.6,2024-07-17
REV00237,U0095,M022,3.8,Excellent medication. Rating: 3.8,2024-06-01
REV00238,U0133,M012,2.8,Mild side effects. Rating: 2.8,2024-09-21
REV00239,U0039,M015,3.8,Excellent medication. Rating: 3.8,2024-08-31
REV00240,U0148,M027,2.5,Took time to work. Rating: 2.5,2024-02-26
REV00241,U0011,M023,5.0,Great relief. Rating: 5.0,2024-08-20
REV00242,U0099,M001,3.9,No side effects. Rating: 3.9,2024-05-28
REV00243,U0009,M011,4.7,Highly recommend. Rating: 4.7,2024-01-19
REV00244,U0181,M008,3.7,Worked very well. Rating: 3.7,2024-08-15
REV00245,U0063,M007,3.7,No side effects. Rating: 3.7,2024-01-14
REV00246,U0124,M021,4.8,Highly recommend. Rating: 4.8,2024-08-13
REV00247,U0121,M023,3.7,Highly recommend. Rating: 3.7,2024-03-02
REV00248,U0035,M006,3.6,No side effects. Rating: 3.6,2024-04-03
REV00249,U0148,M021,2.0,Average results. Rating: 2.0,2024-05-23
REV00250,U0158,M001,4.8,Excellent medication. Rating: 4.8,2024-09-19
REV00251,U0085,M007,2.4,Average results. Rating: 2.4,2024-09-14
REV00252,U0174,M020,4.2,Great relief. Rating: 4.2,2024-01-24
REV00253,U0107,M007,2.5,Not very effective. Rating: 2.5,2024-06-04
REV00254,U0179,M017,4.9,Worked very well. Rating: 4.9,2024-12-21
REV00255,U0103,M001,2.4,Average results. Rating: 2.4,2024-06-10
REV00256,U0006,M028,2.5,Minor dizziness. Rating: 2.5,2024-12-09
REV00257,U0031,M023,3.0,Took time to work. Rating: 3.0,2024-08-21
REV00258,U0068,M021,2.8,Mild side effects. Rating: 2.8,2024-10-14
REV00259,U0140,M028,2.4,Mild side effects. Rating: 2.4,2024-07-24
REV00260,U0008,M014,4.5,Highly recommend. Rating: 4.5,2024-07-19
REV00261,U0103,M025,4.3,Excellent medication. Rating: 4.3,2024-03-24
REV00262,U0174,M029,5.0,No side effects. Rating: 5.0,2024-01-08
REV00263,U0149,M006,1.4,Not very effective. Rating: 1.4,2024-09-17
REV00264,U0021,M022,4.2,No side effects. Rating: 4.2,2024-10-17
REV00265,U0031,M018,4.7,Highly recommend. Rating: 4.7,2024-03-19
REV00266,U0180,M011,1.7,Average results. Rating: 1.7,2024-04-14
REV00267,U0118,M024,3.9,Excellent medication. Rating: 3.9,2024-01-04
REV00268,U0109,M027,3.1,Not very effective. Rating: 3.1,2024-06-06
REV00269,U0075,M006,3.3,Not very effective. Rating: 3.3,2024-01-16
REV00270,U0184,M023,3.4,Took time to work. Rating: 3.4,2024-10-29
REV00271,U0023,M022,1.4,Took time to work. Rating: 1.4,2024-05-01
REV00272,U0078,M022,3.3,Minor dizziness. Rating: 3.3,2024-11-23
REV00273,U0092,M025,3.6,Great relief. Rating: 3.6,2024-10-16
REV00274,U0108,M015,3.7,No side effects. Rating: 3.7,2024-01-14
REV00275,U0158,M011,5.0,Excellent medication. Rating: 5.0,2024-10-02
REV00276,U0049,M001,3.7,Highly recommend. Rating: 3.7,2024-07-07
REV00277,U0070,M008,3.7,Worked very well. Rating: 3.7,2024-10-14
REV00278,U0191,M025,5.0,No side effects. Rating: 5.0,2024-05-22
REV00279,U0179,M005,3.4,Mild side effects. Rating: 3.4,2024-12-21
REV00280,U0120,M024,3.2,Mild side effects. Rating: 3.2,2024-10-02
REV00281,U0099,M021,4.7,Excellent medication. Rating: 4.7,2024-07-11
REV00282,U0170,M008,4.5,Great relief. Rating: 4.5,2024-12-13
REV00283,U0149,M028,5.0,No side effects. Rating: 5.0,2024-01-27
REV00284,U0098,M021,5.0,Excellent medication. Rating: 5.0,2024-05-09
REV00285,U0168,M017,4.8,Worked very well. Rating: 4.8,2024-02-17
REV00286,U0001,M007,2.9,Minor dizziness. Rating: 2.9,2024-08-17
REV00287,U0154,M005,3.9,Excellent medication. Rating: 3.9,2024-07-30
REV00288,U0011,M015,3.3,Minor dizziness. Rating: 3.3,2024-01-25
REV00289,U0009,M017,4.1,No side effects. Rating: 4.1,2024-11-23
REV00290,U0117,M006,4.9,Excellent medication. Rating: 4.9,2024-07-24
REV00291,U0141,M006,4.2,Highly recommend. Rating: 4.2,2024-11-29
REV00292,U0077,M027,4.3,Great relief. Rating: 4.3,2024-09-26
REV00293,U0118,M005,2.7,Mild side effects. Rating: 2.7,2024-09-21
REV00294,U0169,M019,5.0,No side effects. Rating: 5.0,2024-06-22
REV00295,U0162,M009,4.4,Highly recommend. Rating: 4.4,2024-02-15
REV00296,U0108,M018,3.6,Excellent medication. Rating: 3.6,2024-01-02
REV00297,U0185,M020,2.6,Mild side effects. Rating: 2.6,2024-07-16
REV00298,U0044,M026,4.4,Excellent medication. Rating: 4.4,2024-08-29
REV00299,U0009,M017,3.4,Not very effective. Rating: 3.4,2024-03-09
REV00300,U0062,M020,4.1,Excellent medication. Rating: 4.1,2024-03-02
REV00301,U0108,M007,2.4,Took time to work. Rating: 2.4,2024-12-10
REV00302,U0072,M009,4.2,Great relief. Rating: 4.2,2024-04-21
REV00303,U0165,M009,3.2,Took time to work. Rating: 3.2,2024-06-20
REV00304,U0175,M027,5.0,No side effects. Rating: 5.0,2024-09-05
REV00305,U0189,M024,4.1,Excellent medication. Rating: 4.1,2024-05-31
REV00306,U0077,M006,3.6,Worked very well. Rating: 3.6,2024-12-02
REV00307,U0005,M019,4.3,No side effects. Rating: 4.3,2024-02-16
REV00308,U0058,M015,3.3,Took time to work. Rating: 3.3,2024-07-05
REV00309,U0146,M015,3.8,Great relief. Rating: 3.8,2024-07-26
REV00310,U0064,M020,4.4,Excellent medication. Rating: 4.4,2024-07-11
REV00311,U0194,M010,3.2,Took time to work. Rating: 3.2,2024-05-04
REV00312,U0082,M005,2.9,Average results. Rating: 2.9,2024-12-19
REV00313,U0179,M025,3.5,Worked very well. Rating: 3.5,2024-08-05
REV00314,U0129,M025,4.7,Great relief. Rating: 4.7,2024-02-10
REV00315,U0200,M009,3.2,Minor dizziness. Rating: 3.2,2024-12-13
REV00316,U0063,M028,2.1,Mild side effects. Rating: 2.1,2024-07-23
REV00317,U0140,M005,4.2,No side effects. Rating: 4.2,2024-03-01
REV00318,U0184,M019,3.1,Minor dizziness. Rating: 3.1,2024-08-19
REV00319,U0071,M023,4.6,Great relief. Rating: 4.6,2024-07-23
REV00320,U0039,M007,3.8,Highly recommend. Rating: 3.8,2024-03-06
REV00321,U0119,M020,3.8,Highly recommend. Rating: 3.8,2024-11-15
REV00322,U0105,M010,4.1,No side effects. Rating: 4.1,2024-10-26
REV00323,U0146,M027,4.7,Great relief. Rating: 4.7,2024-09-05
REV00324,U0035,M024,4.2,Worked very well. Rating: 4.2,2024-01-26
REV00325,U0100,M006,4.4,No side effects. Rating: 4.4,2024-03-25
REV00326,U0145,M020,3.6,Highly recommend. Rating: 3.6,2024-03-06
REV00327,U0117,M030,4.8,Excellent medication. Rating: 4.8,2024-10-18
REV00328,U0105,M006,3.9,No side effects. Rating: 3.9,2024-04-06
REV00329,U0154,M022,4.6,No side effects. Rating: 4.6,2024-03-20
REV00330,U0189,M020,3.2,Not very effective. Rating: 3.2,2024-10-07
REV00331,U0189,M016,3.8,No side effects. Rating: 3.8,2024-07-23
REV00332,U0132,M015,4.7,No side effects. Rating: 4.7,2024-12-29
REV00333,U0200,M014,2.4,Minor dizziness. Rating: 2.4,2024-01-07
REV00334,U0032,M008,3.8,Great relief. Rating: 3.8,2024-05-10
REV00335,U0156,M027,3.5,Great relief. Rating: 3.5,2024-05-06
REV00336,U0084,M007,3.8,Excellent medication. Rating: 3.8,2024-11-04
REV00337,U0022,M005,3.2,Not very effective. Rating: 3.2,2024-03-05
REV00338,U0003,M001,3.7,Highly recommend. Rating: 3.7,2024-01-03
REV00339,U0168,M022,4.5,Excellent medication. Rating: 4.5,2024-12-23
REV00340,U0103,M005,3.3,Average results. Rating: 3.3,2024-11-11
REV00341,U0190,M021,3.4,Minor dizziness. Rating: 3.4,2024-12-04
REV00342,U0009,M028,1.4,Took time to work. Rating: 1.4,2024-05-25
REV00343,U0077,M004,3.6,Worked very well. Rating: 3.6,2024-01-09
REV00344,U0133,M026,2.5,Took time to work. Rating: 2.5,2024-10-21
REV00345,U0121,M005,3.2,Not very effective. Rating: 3.2,2024-01-17
REV00346,U0157,M018,3.8,No side effects. Rating: 3.8,2024-08-10
REV00347,U0077,M006,2.6,Average results. Rating: 2.6,2024-12-07
REV00348,U0076,M030,2.3,Took time to work. Rating: 2.3,2024-01-06
REV00349,U0015,M017,2.5,Took time to work. Rating: 2.5,2024-04-03
REV00350,U0087,M027,5.0,Worked very well. Rating: 5.0,2024-04-28
REV00351,U0110,M020,5.0,Highly recommend. Rating: 5.0,2024-02-22
REV00352,U0067,M018,4.2,No side effects. Rating: 4.2,2024-11-13
REV00353,U0199,M018,2.0,Not very effective. Rating: 2.0,2024-01-18
REV00354,U0103,M018,5.0,Great relief. Rating: 5.0,2024-03-08
REV00355,U0063,M021,4.1,Great relief. Rating: 4.1,2024-01-02
REV00356,U0158,M014,3.5,Highly recommend. Rating: 3.5,2024-07-28
REV00357,U0086,M016,4.8,No side effects. Rating: 4.8,2024-03-19
REV00358,U0002,M010,4.5,Great relief. Rating: 4.5,2024-05-06
REV00359,U0031,M023,4.0,Great relief. Rating: 4.0,2024-03-24
REV00360,U0058,M003,3.0,Minor dizziness. Rating: 3.0,2024-12-02
REV00361,U0104,M004,4.3,Great relief. Rating: 4.3,2024-01-07
REV00362,U0128,M016,5.0,Excellent medication. Rating: 5.0,2024-09-10
REV00363,U0090,M002,4.0,Highly recommend. Rating: 4.0,2024-04-25
REV00364,U0023,M025,4.4,Highly recommend. Rating: 4.4,2024-10-21
REV00365,U0038,M023,3.8,Excellent medication. Rating: 3.8,2024-06-19
REV00366,U0191,M027,3.2,Not very effective. Rating: 3.2,2024-10-25
