interaction_id,user_id,med_id,rating,timestamp
INT00142,U0056,M024,3.6,2024-08-15
INT00143,U0190,M014,4.0,2024-08-05
INT00144,U0187,M029,3.2,2024-07-31
INT00145,U0036,M027,3.5,2024-04-16
INT00146,U0078,M016,3.6,2024-09-25
INT00147,U0086,M003,4.8,2024-07-11
INT00148,U0023,M001,3.4,2024-07-28
INT00149,U0164,M030,3.7,2024-08-24
INT00150,U0182,M019,4.3,2024-03-11
INT00151,U0052,M006,4.1,2024-09-08
INT00152,U0011,M027,3.2,2024-06-03
INT00153,U0150,M010,2.5,2024-04-24
INT00154,U0007,M026,3.8,2024-01-02
INT00155,U0040,M009,3.4,2024-11-21
INT00156,U0121,M004,4.9,2024-11-30
INT00157,U0171,M029,3.7,2024-12-18
INT00158,U0166,M008,4.3,2024-01-15
INT00159,U0031,M025,3.4,2024-02-04
INT00160,U0154,M024,5.0,2024-07-04
INT00161,U0149,M016,2.3,2024-11-17
INT00162,U0176,M016,3.2,2024-12-21
INT00163,U0031,M012,2.8,2024-05-12
INT00164,U0042,M019,3.7,2024-01-30
INT00165,U0038,M011,2.6,2024-07-01
INT00166,U0042,M002,4.1,2024-05-19
INT00167,U0093,M014,2.5,2024-01-25
INT00168,U0075,M010,2.3,2024-09-28
INT00169,U0164,M030,4.3,2024-11-17
INT00170,U0047,M025,4.0,2024-02-18
INT00171,U0154,M025,4.2,2024-06-10
INT00172,U0176,M026,4.4,2024-06-03
INT00173,U0070,M022,3.6,2024-09-30
INT00174,U0149,M012,3.1,2024-03-14
INT00175,U0004,M005,3.0,2024-09-05
INT00176,U0106,M011,3.7,2024-03-24
INT00177,U0027,M007,4.1,2024-04-06
INT00178,U0144,M020,4.3,2024-12-19
INT00179,U0135,M028,2.8,2024-02-28
INT00180,U0107,M015,3.6,2024-02-09
INT00181,U0030,M027,3.9,2024-06-27
INT00182,U0080,M023,3.9,2024-07-04
INT00183,U0036,M027,1.6,2024-09-24
INT00184,U0196,M011,4.6,2024-03-29
INT00185,U0182,M010,5.0,2024-04-23
INT00186,U0033,M028,4.1,2024-12-21
INT00187,U0037,M023,3.9,2024-03-07
INT00188,U0021,M014,4.2,2024-12-19
INT00189,U0196,M026,3.9,2024-09-04
INT00190,U0194,M014,3.9,2024-01-22
INT00191,U0051,M004,4.9,2024-10-30
INT00192,U0016,M016,4.0,2024-03-01
INT00193,U0065,M002,4.9,2024-02-19
INT00194,U0032,M030,4.3,2024-11-04
INT00195,U0053,M019,4.2,2024-06-28
INT00196,U0008,M003,3.5,2024-03-15
INT00197,U0192,M009,4.5,2024-03-23
INT00198,U0129,M025,3.6,2024-11-09
INT00199,U0062,M017,3.5,2024-10-23
INT00200,U0196,M001,3.6,2024-09-27
INT00201,U0056,M023,4.0,2024-10-02
INT00202,U0002,M024,4.4,2024-02-20
INT00203,U0055,M030,2.5,2024-07-06
INT00204,U0179,M019,3.8,2024-04-04
INT00205,U0113,M022,4.3,2024-06-30
INT00206,U0098,M014,3.7,2024-04-19
INT00207,U0132,M008,2.7,2024-06-09
INT00208,U0032,M015,4.5,2024-02-26
INT00209,U0134,M005,3.0,2024-05-27
INT00210,U0143,M024,3.8,2024-01-21
INT00211,U0022,M011,3.0,2024-08-21
INT00212,U0154,M024,3.8,2024-06-08
INT00213,U0176,M027,2.8,2024-05-28
INT00214,U0110,M007,4.2,2024-02-05
INT00215,U0122,M022,3.7,2024-12-11
INT00216,U0126,M022,3.9,2024-02-23
INT00217,U0102,M015,2.6,2024-03-02
INT00218,U0037,M013,3.6,2024-07-24
INT00219,U0178,M019,5.0,2024-03-27
INT00220,U0017,M012,3.6,2024-04-11
INT00221,U0087,M007,1.8,2024-03-03
INT00222,U0060,M027,2.4,2024-08-05
INT00223,U0186,M016,3.6,2024-10-24
INT00224,U0152,M009,5.0,2024-11-25
INT00225,U0103,M012,2.7,2024-07-26
INT00226,U0125,M017,4.0,2024-05-22
INT00227,U0038,M025,3.4,2024-09-07
INT00228,U0128,M008,3.9,2024-11-17
INT00229,U0035,M001,4.0,2024-02-04
INT00230,U0128,M022,4.0,2024-01-14
INT00231,U0046,M013,3.2,2024-06-04
INT00232,U0160,M020,3.4,2024-02-19
INT00233,U0195,M003,3.3,2024-09-09
INT00234,U0120,M007,3.0,2024-05-30
INT00235,U0170,M016,3.2,2024-06-24
INT00236,U0139,M018,3.8,2024-01-10
INT00237,U0196,M002,5.0,2024-03-01
INT00238,U0099,M015,3.7,2024-06-10
INT00239,U0097,M015,3.6,2024-10-12
INT00240,U0169,M028,3.9,2024-06-04
INT00241,U0181,M006,3.4,2024-07-18
INT00242,U0125,M025,3.8,2024-02-26
INT00243,U0146,M022,2.8,2024-10-03
INT00244,U0147,M016,3.9,2024-08-31
INT00245,U0144,M028,4.0,2024-05-14
INT00246,U0127,M019,4.0,2024-07-12
INT00247,U0158,M022,2.5,2024-06-13
INT00248,U0016,M001,5.0,2024-10-29
INT00249,U0012,M005,4.2,2024-10-25
INT00250,U0007,M025,3.2,2024-11-16
INT00251,U0088,M013,4.4,2024-07-01
INT00252,U0106,M012,4.2,2024-01-29
INT00253,U0170,M008,3.8,2024-10-30
INT00254,U0022,M030,5.0,2024-12-18
INT00255,U0017,M028,3.6,2024-01-11
INT00256,U0138,M011,4.5,2024-01-20
INT00257,U0118,M022,4.5,2024-08-03
INT00258,U0069,M001,3.0,2024-12-22
INT00259,U0121,M019,4.5,2024-10-19
INT00260,U0100,M011,3.9,2024-10-20
INT00261,U0026,M026,2.6,2024-04-15
INT00262,U0087,M016,3.9,2024-09-14
INT00263,U0196,M022,3.2,2024-07-05
INT00264,U0112,M007,4.7,2024-09-11
INT00265,U0163,M028,4.1,2024-10-01
INT00266,U0055,M010,3.7,2024-05-15
INT00267,U0013,M010,4.6,2024-04-25
INT00268,U0160,M024,3.8,2024-02-17
INT00269,U0184,M028,2.9,2024-05-19
INT00270,U0018,M019,3.3,2024-09-28
INT00271,U0122,M014,4.2,2024-11-29
INT00272,U0078,M017,5.0,2024-06-02
INT00273,U0111,M022,3.3,2024-07-24
INT00274,U0065,M020,3.7,2024-09-20
INT00275,U0117,M022,3.8,2024-01-10
INT00276,U0161,M023,3.3,2024-09-21
INT00277,U0048,M019,2.6,2024-08-27
INT00278,U0069,M030,3.8,2024-11-22
INT00279,U0137,M026,2.8,2024-08-10
INT00280,U0145,M024,2.9,2024-11-16
INT00281,U0016,M017,4.1,2024-05-03
INT00282,U0039,M024,4.6,2024-12-16
INT00283,U0196,M010,4.3,2024-02-02
INT00284,U0163,M007,3.1,2024-07-30
INT00285,U0069,M027,3.7,2024-12-17
INT00286,U0154,M008,4.3,2024-07-26
INT00287,U0062,M004,3.9,2024-06-07
INT00288,U0119,M016,4.0,2024-10-13
INT00289,U0112,M014,3.7,2024-03-22
INT00290,U0070,M005,3.6,2024-01-15
INT00291,U0067,M026,4.2,2024-03-31
INT00292,U0165,M028,2.7,2024-01-22
INT00293,U0185,M016,3.9,2024-02-12
INT00294,U0081,M020,3.5,2024-06-01
INT00295,U0017,M029,5.0,2024-12-09
INT00296,U0169,M029,3.3,2024-02-16
INT00297,U0102,M027,3.7,2024-02-27
INT00298,U0147,M024,3.4,2024-09-13
INT00299,U0031,M017,3.3,2024-09-25
INT00300,U0065,M016,2.9,2024-02-16
INT00301,U0061,M020,4.8,2024-06-17
INT00302,U0150,M024,4.8,2024-07-18
INT00303,U0192,M024,3.9,2024-03-14
INT00304,U0028,M006,4.6,2024-04-19
INT00305,U0071,M015,2.5,2024-01-29
INT00306,U0126,M018,4.7,2024-07-10
INT00307,U0180,M004,3.5,2024-12-15
INT00308,U0064,M009,4.6,2024-03-15
INT00309,U0093,M016,3.5,2024-01-11
INT00310,U0166,M029,2.3,2024-11-06
INT00311,U0009,M027,3.7,2024-01-28
INT00312,U0177,M030,2.4,2024-12-09
INT00313,U0062,M009,3.1,2024-12-24
INT00314,U0093,M029,3.6,2024-12-16
INT00315,U0032,M018,4.9,2024-07-17
INT00316,U0003,M030,2.6,2024-07-20
INT00317,U0066,M010,5.0,2024-04-30
INT00318,U0077,M007,4.6,2024-03-23
INT00319,U0113,M021,3.2,2024-11-25
INT00320,U0105,M026,5.0,2024-01-18
INT00321,U0071,M028,5.0,2024-09-08
INT00322,U0121,M024,4.5,2024-07-30
INT00323,U0086,M023,2.2,2024-02-21
INT00324,U0042,M023,4.6,2024-05-13
INT00325,U0130,M003,3.2,2024-10-07
INT00326,U0189,M011,4.7,2024-08-20
INT00327,U0178,M001,3.9,2024-04-04
INT00328,U0162,M015,2.7,2024-11-24
INT00329,U0035,M001,2.9,2024-06-09
INT00330,U0148,M003,4.5,2024-02-26
INT00331,U0041,M008,1.7,2024-11-28
INT00332,U0196,M005,3.6,2024-10-31
INT00333,U0176,M014,4.0,2024-09-01
INT00334,U0189,M005,3.1,2024-05-13
INT00335,U0045,M022,3.2,2024-05-24
INT00336,U0051,M003,3.4,2024-07-31
INT00337,U0095,M006,3.2,2024-10-19
INT00338,U0058,M001,4.3,2024-01-12
INT00339,U0143,M021,3.4,2024-02-15
INT00340,U0119,M007,3.4,2024-05-14
INT00341,U0180,M028,4.2,2024-08-07
INT00342,U0154,M009,4.5,2024-03-17
INT00343,U0023,M012,4.3,2024-01-08
INT00344,U0184,M017,4.7,2024-08-10
INT00345,U0198,M030,5.0,2024-09-10
INT00346,U0031,M008,3.1,2024-12-31
INT00347,U0053,M007,5.0,2024-05-16
INT00348,U0074,M024,3.3,2024-09-10
INT00349,U0098,M005,3.3,2024-04-20
INT00350,U0073,M024,4.0,2024-12-12
INT00351,U0049,M014,4.4,2024-01-15
INT00352,U0075,M009,5.0,2024-04-30
INT00353,U0159,M015,4.4,2024-12-16
INT00354,U0166,M015,3.4,2024-02-13
INT00355,U0003,M016,4.3,2024-12-20
INT00356,U0102,M022,4.3,2024-04-18
INT00357,U0183,M013,3.5,2024-05-11
INT00358,U0019,M004,2.5,2024-10-12
INT00359,U0016,M002,3.5,2024-06-30
INT00360,U0156,M022,4.3,2024-11-02
INT00361,U0182,M024,3.8,2024-09-15
INT00362,U0159,M013,3.7,2024-06-03
INT00363,U0102,M022,2.4,2024-10-13
INT00364,U0011,M019,5.0,2024-04-01
INT00365,U0067,M006,2.0,2024-08-27
INT00366,U0034,M003,3.8,2024-06-11
INT00367,U0182,M017,3.2,2024-06-09
INT00368,U0012,M005,4.1,2024-09-12
INT00369,U0072,M024,3.3,2024-05-14
INT00370,U0157,M027,4.5,2024-05-15
INT00371,U0133,M011,3.4,2024-09-08
INT00372,U0196,M005,4.0,2024-10-11
INT00373,U0169,M021,3.9,2024-03-17
INT00374,U0014,M008,3.5,2024-04-03
INT00375,U0010,M016,3.7,2024-08-11
INT00376,U0030,M029,5.0,2024-09-10
INT00377,U0011,M015,3.0,2024-09-05
INT00378,U0118,M016,4.8,2024-02-27
INT00379,U0185,M028,4.2,2024-04-14
INT00380,U0073,M006,4.4,2024-03-27
INT00381,U0192,M017,4.3,2024-12-05
INT00382,U0150,M007,2.9,2024-10-25
INT00383,U0002,M017,3.9,2024-02-09
INT00384,U0064,M025,3.3,2024-09-12
INT00385,U0174,M004,3.9,2024-12-14
INT00386,U0175,M004,3.7,2024-07-20
INT00387,U0096,M019,4.1,2024-06-14
INT00388,U0040,M001,3.6,2024-02-11
INT00389,U0118,M027,3.6,2024-11-17
INT00390,U0069,M020,2.9,2024-12-02
INT00391,U0002,M011,4.9,2024-08-19
INT00392,U0084,M024,3.6,2024-10-18
INT00393,U0034,M007,4.7,2024-05-24
INT00394,U0083,M026,2.7,2024-01-29
INT00395,U0191,M003,2.8,2024-02-17
INT00396,U0103,M009,3.5,2024-04-01
INT00397,U0062,M025,4.0,2024-04-16
INT00398,U0042,M013,3.5,2024-07-25
INT00399,U0073,M021,3.8,2024-03-02
INT00400,U0077,M016,2.6,2024-08-09
INT00401,U0189,M026,5.0,2024-11-04
INT00402,U0034,M012,3.0,2024-12-06
INT00403,U0025,M027,3.4,2024-08-16
INT00404,U0100,M016,4.2,2024-05-17
INT00405,U0145,M020,2.6,2024-07-07
INT00406,U0158,M006,4.4,2024-08-10
INT00407,U0162,M014,4.6,2024-08-25
INT00408,U0174,M008,4.3,2024-11-27
INT00409,U0176,M023,4.3,2024-11-18
INT00410,U0166,M017,4.6,2024-02-12
INT00411,U0075,M015,2.2,2024-09-01
INT00412,U0077,M005,4.5,2024-03-06
INT00413,U0176,M029,3.6,2024-08-06
INT00414,U0076,M019,4.4,2024-01-25
INT00415,U0142,M003,4.6,2024-09-18
INT00416,U0109,M014,3.3,2024-02-18
INT00417,U0119,M022,3.5,2024-06-30
INT00418,U0066,M019,2.4,2024-02-11
INT00419,U0197,M017,5.0,2024-08-24
INT00420,U0046,M026,3.9,2024-04-03
INT00421,U0101,M002,5.0,2024-06-01
INT00422,U0081,M019,4.6,2024-08-20
INT00423,U0194,M022,2.4,2024-06-23
INT00424,U0048,M007,4.2,2024-04-04
INT00425,U0021,M024,4.4,2024-12-10
INT00426,U0028,M014,3.7,2024-09-30
INT00427,U0005,M001,3.7,2024-12-01
INT00428,U0123,M015,3.9,2024-12-20
INT00429,U0104,M028,3.1,2024-09-06
INT00430,U0078,M020,2.7,2024-11-11
INT00431,U0093,M023,3.2,2024-07-21
INT00432,U0078,M003,2.7,2024-03-05
INT00433,U0035,M001,4.3,2024-12-22
INT00434,U0049,M028,5.0,2024-01-14
INT00435,U0054,M016,3.1,2024-08-11
INT00436,U0161,M028,2.9,2024-10-02
INT00437,U0049,M003,3.5,2024-08-30
INT00438,U0109,M001,4.6,2024-02-29
INT00439,U0043,M029,4.5,2024-09-05
INT00440,U0121,M001,4.8,2024-08-18
INT00441,U0150,M008,4.1,2024-07-19
INT00442,U0014,M011,4.8,2024-01-05
INT00443,U0027,M021,4.3,2024-07-31
INT00444,U0127,M024,3.1,2024-10-23
INT00445,U0153,M024,3.2,2024-09-06
INT00446,U0103,M016,3.6,2024-09-19
INT00447,U0152,M024,2.9,2024-09-06
INT00448,U0060,M023,3.0,2024-02-01
INT00449,U0136,M001,3.2,2024-02-02
INT00450,U0069,M029,4.1,2024-11-27
INT00451,U0107,M029,2.9,2024-11-26
INT00452,U0089,M015,4.0,2024-12-23
INT00453,U0112,M001,4.5,2024-08-28
INT00454,U0089,M015,4.9,2024-04-28
INT00455,U0130,M008,2.8,2024-11-04
INT00456,U0184,M022,3.2,2024-08-27
INT00457,U0034,M029,3.5,2024-08-01
INT00458,U0173,M021,5.0,2024-07-03
INT00459,U0121,M026,4.3,2024-04-16
INT00460,U0073,M023,3.7,2024-02-14
INT00461,U0171,M016,4.2,2024-11-06
INT00462,U0126,M004,4.2,2024-07-31
INT00463,U0127,M010,3.9,2024-01-10
INT00464,U0092,M029,4.8,2024-05-13
INT00465,U0092,M022,4.6,2024-09-14
INT00466,U0009,M026,5.0,2024-02-02
INT00467,U0087,M014,4.2,2024-10-14
INT00468,U0058,M016,4.2,2024-05-12
INT00469,U0088,M026,3.6,2024-10-12
INT00470,U0069,M029,4.0,2024-03-18
INT00471,U0177,M028,2.6,2024-12-27
INT00472,U0013,M030,3.7,2024-08-12
INT00473,U0118,M027,3.9,2024-11-08
INT00474,U0157,M026,1.6,2024-02-22
INT00475,U0144,M002,3.3,2024-03-01
INT00476,U0053,M030,3.8,2024-07-04
INT00477,U0041,M024,3.6,2024-09-16
INT00478,U0128,M024,4.6,2024-02-20
INT00479,U0040,M021,2.8,2024-03-03
INT00480,U0052,M015,4.9,2024-07-31
INT00481,U0197,M025,5.0,2024-08-30
INT00482,U0088,M010,3.9,2024-09-15
INT00483,U0044,M003,3.7,2024-07-31
INT00484,U0093,M021,5.0,2024-12-06
INT00485,U0063,M005,3.8,2024-04-26
INT00486,U0036,M026,2.8,2024-08-07
INT00487,U0106,M030,3.1,2024-09-21
INT00488,U0175,M012,4.3,2024-01-16
INT00489,U0114,M005,4.0,2024-09-21
INT00490,U0018,M003,2.5,2024-06-22
INT00491,U0081,M013,4.3,2024-02-01
INT00492,U0101,M025,3.7,2024-01-19
INT00493,U0170,M030,2.7,2024-01-30
INT00494,U0162,M023,2.5,2024-12-04
INT00495,U0134,M010,2.3,2024-12-24
INT00496,U0142,M028,4.6,2024-06-04
INT00497,U0185,M024,3.5,2024-05-23
INT00498,U0136,M020,4.5,2024-03-16
INT00499,U0180,M013,3.3,2024-10-05
INT00500,U0160,M026,4.0,2024-11-12
INT00501,U0167,M015,3.3,2024-11-28
INT00502,U0104,M025,2.2,2024-04-11
INT00503,U0078,M003,4.5,2024-03-05
INT00504,U0134,M018,4.0,2024-05-25
INT00505,U0055,M003,3.1,2024-06-23
INT00506,U0194,M021,3.7,2024-03-22
INT00507,U0006,M001,4.6,2024-05-12
INT00508,U0062,M027,3.2,2024-06-04
INT00509,U0186,M014,4.2,2024-01-31
INT00510,U0096,M009,3.8,2024-11-17
INT00511,U0130,M012,4.8,2024-03-04
INT00512,U0115,M010,4.7,2024-10-20
INT00513,U0189,M001,1.6,2024-10-24
INT00514,U0145,M023,4.5,2024-11-17
INT00515,U0171,M018,4.1,2024-06-02
INT00516,U0073,M022,3.3,2024-10-20
INT00517,U0173,M005,3.6,2024-05-06
INT00518,U0027,M011,2.9,2024-09-21
INT00519,U0150,M007,4.1,2024-02-20
INT00520,U0038,M023,3.1,2024-08-05
INT00521,U0106,M003,4.5,2024-03-07
INT00522,U0122,M007,4.3,2024-08-16
INT00523,U0020,M012,3.4,2024-10-13
INT00524,U0133,M025,3.1,2024-07-21
INT00525,U0068,M019,3.0,2024-08-13
INT00526,U0177,M030,3.8,2024-09-07
INT00527,U0188,M014,4.0,2024-03-06
INT00528,U0125,M023,3.4,2024-08-22
INT00529,U0034,M023,2.8,2024-12-21
INT00530,U0055,M015,3.7,2024-08-30
INT00531,U0009,M024,4.4,2024-03-01
INT00532,U0155,M028,4.7,2024-07-28
INT00533,U0029,M004,3.3,2024-09-24
INT00534,U0040,M004,4.3,2024-07-09
INT00535,U0079,M012,3.5,2024-03-14
INT00536,U0037,M026,4.7,2024-10-28
INT00537,U0108,M002,4.4,2024-05-25
INT00538,U0056,M006,3.5,2024-09-07
INT00539,U0001,M004,3.5,2024-01-23
INT00540,U0107,M016,3.7,2024-10-20
INT00541,U0080,M019,3.1,2024-07-12
INT00542,U0122,M027,4.0,2024-11-06
INT00543,U0034,M025,4.5,2024-08-18
INT00544,U0171,M015,4.7,2024-03-17
INT00545,U0187,M011,4.7,2024-11-15
INT00546,U0105,M013,4.4,2024-04-29
INT00547,U0102,M011,1.9,2024-08-14
INT00548,U0189,M009,3.3,2024-11-26
INT00549,U0023,M028,3.9,2024-11-18
INT00550,U0198,M023,4.0,2024-06-07
INT00551,U0144,M021,4.5,2024-04-08
INT00552,U0159,M018,4.5,2024-10-22
INT00553,U0194,M002,4.7,2024-08-31
INT00554,U0129,M029,3.5,2024-01-10
INT00555,U0031,M022,4.3,2024-01-10
INT00556,U0071,M026,3.6,2024-04-15
INT00557,U0063,M027,3.3,2024-08-15
INT00558,U0022,M026,2.2,2024-09-30
INT00559,U0156,M011,3.6,2024-01-12
INT00560,U0088,M014,3.9,2024-04-02
INT00561,U0107,M001,4.2,2024-05-11
INT00562,U0024,M004,3.3,2024-02-20
INT00563,U0139,M006,3.7,2024-02-15
INT00564,U0040,M010,4.3,2024-07-27
INT00565,U0174,M006,5.0,2024-04-02
INT00566,U0007,M023,4.5,2024-01-30
INT00567,U0077,M013,4.2,2024-06-14
INT00568,U0067,M013,4.1,2024-03-02
INT00569,U0014,M007,3.9,2024-05-01
INT00570,U0127,M017,4.9,2024-09-15
INT00571,U0099,M004,3.7,2024-10-10
INT00572,U0105,M003,4.5,2024-09-04
INT00573,U0008,M014,2.6,2024-01-10
INT00574,U0069,M018,2.5,2024-10-27
INT00575,U0173,M004,3.8,2024-03-05
INT00576,U0078,M019,4.8,2024-07-27
INT00577,U0115,M003,4.3,2024-03-13
INT00578,U0096,M018,3.0,2024-03-27
INT00579,U0063,M018,5.0,2024-10-11
INT00580,U0116,M002,3.2,2024-01-01
INT00581,U0119,M027,3.0,2024-03-26
INT00582,U0001,M002,3.0,2024-09-03
INT00583,U0070,M020,3.8,2024-06-28
INT00584,U0162,M007,5.0,2024-10-26
INT00585,U0131,M010,5.0,2024-10-15
INT00586,U0018,M010,4.2,2024-02-15
INT00587,U0102,M023,4.1,2024-10-11
INT00588,U0072,M029,4.1,2024-08-09
INT00589,U0054,M020,2.4,2024-12-15
INT00590,U0088,M021,3.8,2024-05-13
INT00591,U0193,M023,3.2,2024-06-13
INT00592,U0088,M007,4.0,2024-08-23
INT00593,U0154,M011,5.0,2024-11-26
INT00594,U0001,M020,3.9,2024-08-31
INT00595,U0002,M029,4.3,2024-10-11
INT00596,U0179,M023,3.8,2024-09-07
INT00597,U0196,M013,2.4,2024-11-28
INT00598,U0167,M003,3.5,2024-10-02
INT00599,U0008,M029,4.4,2024-12-10
INT00600,U0032,M012,2.8,2024-07-11
INT00601,U0154,M012,2.6,2024-12-22
INT00602,U0003,M004,4.8,2024-08-24
INT00603,U0095,M030,3.8,2024-01-11
INT00604,U0195,M009,3.9,2024-12-14
INT00605,U0182,M012,4.3,2024-11-16
INT00606,U0078,M026,5.0,2024-04-23
